year,builtupArea
1990,32.013999999999996
1991,32.0306
1992,32.0472
1993,32.0638
1994,32.0804
1995,32.096999999999994
1996,32.1136
1997,32.130199999999995
1998,32.1468
1999,32.163399999999996
2000,32.18
2001,32.1966
2002,32.2132
2003,32.2298
2004,32.246399999999994
2005,32.263
2006,32.279599999999995
2007,32.2962
2008,32.312799999999996
2009,32.3294
2010,32.346
2011,32.3626
2012,32.3792
2013,32.395799999999994
2014,32.4124
2015,32.428999999999995
2016,32.4456
2017,32.462199999999996
2018,32.4788
2019,32.4954
2020,32.512
2021,32.5286
2022,32.545199999999994
