year,builtupArea
1990,610.6429999999999
1991,610.9509999999999
1992,611.2589999999999
1993,611.5669999999999
1994,611.875
1995,612.183
1996,612.491
1997,612.799
1998,613.107
1999,613.415
2000,613.723
2001,614.031
2002,614.3389999999999
2003,614.6469999999999
2004,614.9549999999999
2005,615.2629999999999
2006,615.5709999999999
2007,615.8789999999999
2008,616.1869999999999
2009,616.495
2010,616.803
2011,617.111
2012,617.419
2013,617.727
2014,618.035
2015,618.343
2016,618.651
2017,618.959
2018,619.2669999999999
2019,619.5749999999999
2020,619.8829999999999
2021,620.1909999999999
2022,620.4989999999999
