year,builtupArea
1990,612.8969999999999
1991,613.2049999999999
1992,613.5129999999999
1993,613.8209999999999
1994,614.129
1995,614.437
1996,614.745
1997,615.053
1998,615.361
1999,615.669
2000,615.977
2001,616.285
2002,616.593
2003,616.901
2004,617.209
2005,617.5169999999999
2006,617.8249999999999
2007,618.1329999999999
2008,618.4409999999999
2009,618.749
2010,619.057
2011,619.365
2012,619.673
2013,619.981
2014,620.289
2015,620.597
2016,620.905
2017,621.213
2018,621.521
2019,621.829
2020,622.137
2021,622.4449999999999
2022,622.7529999999999
