year,builtupArea
1990,613.909
1991,614.217
1992,614.525
1993,614.833
1994,615.1410000000001
1995,615.4490000000001
1996,615.7570000000001
1997,616.065
1998,616.373
1999,616.681
2000,616.989
2001,617.297
2002,617.605
2003,617.913
2004,618.221
2005,618.529
2006,618.837
2007,619.145
2008,619.453
2009,619.7610000000001
2010,620.0690000000001
2011,620.3770000000001
2012,620.6850000000001
2013,620.993
2014,621.301
2015,621.609
2016,621.917
2017,622.225
2018,622.533
2019,622.841
2020,623.149
2021,623.457
2022,623.765
