year,builtupArea
1990,610.784
1991,611.092
1992,611.4
1993,611.708
1994,612.0160000000001
1995,612.3240000000001
1996,612.6320000000001
1997,612.94
1998,613.248
1999,613.556
2000,613.864
2001,614.172
2002,614.48
2003,614.788
2004,615.096
2005,615.404
2006,615.712
2007,616.02
2008,616.328
2009,616.6360000000001
2010,616.9440000000001
2011,617.2520000000001
2012,617.5600000000001
2013,617.868
2014,618.176
2015,618.484
2016,618.792
2017,619.1
2018,619.408
2019,619.716
2020,620.024
2021,620.332
2022,620.64
