year,builtupArea
1990,613.1959999999999
1991,613.5039999999999
1992,613.8119999999999
1993,614.1199999999999
1994,614.428
1995,614.736
1996,615.044
1997,615.352
1998,615.66
1999,615.968
2000,616.276
2001,616.584
2002,616.8919999999999
2003,617.1999999999999
2004,617.5079999999999
2005,617.8159999999999
2006,618.1239999999999
2007,618.4319999999999
2008,618.7399999999999
2009,619.048
2010,619.356
2011,619.664
2012,619.972
2013,620.28
2014,620.588
2015,620.896
2016,621.204
2017,621.512
2018,621.8199999999999
2019,622.1279999999999
2020,622.4359999999999
2021,622.7439999999999
2022,623.0519999999999
