year,builtupArea
1990,733.3069999999999
1991,733.675
1992,734.043
1993,734.411
1994,734.779
1995,735.1469999999999
1996,735.515
1997,735.8829999999999
1998,736.251
1999,736.6189999999999
2000,736.987
2001,737.3549999999999
2002,737.723
2003,738.091
2004,738.459
2005,738.827
2006,739.1949999999999
2007,739.563
2008,739.9309999999999
2009,740.299
2010,740.6669999999999
2011,741.035
2012,741.4029999999999
2013,741.771
2014,742.139
2015,742.507
2016,742.875
2017,743.2429999999999
2018,743.611
2019,743.9789999999999
2020,744.347
2021,744.7149999999999
2022,745.083
