year,builtupArea
1990,612.069
1991,612.377
1992,612.685
1993,612.9929999999999
1994,613.301
1995,613.609
1996,613.917
1997,614.225
1998,614.533
1999,614.841
2000,615.149
2001,615.457
2002,615.765
2003,616.073
2004,616.381
2005,616.689
2006,616.997
2007,617.305
2008,617.6129999999999
2009,617.921
2010,618.229
2011,618.537
2012,618.845
2013,619.153
2014,619.461
2015,619.769
2016,620.077
2017,620.385
2018,620.693
2019,621.001
2020,621.309
2021,621.617
2022,621.925
