year,builtupArea
1990,614.438
1991,614.746
1992,615.054
1993,615.362
1994,615.6700000000001
1995,615.9780000000001
1996,616.2860000000001
1997,616.594
1998,616.902
1999,617.21
2000,617.518
2001,617.826
2002,618.134
2003,618.442
2004,618.75
2005,619.058
2006,619.366
2007,619.674
2008,619.982
2009,620.2900000000001
2010,620.5980000000001
2011,620.9060000000001
2012,621.214
2013,621.522
2014,621.83
2015,622.138
2016,622.446
2017,622.754
2018,623.062
2019,623.37
2020,623.678
2021,623.986
2022,624.294
