year,builtupArea
1990,612.115
1991,612.423
1992,612.731
1993,613.039
1994,613.3470000000001
1995,613.6550000000001
1996,613.9630000000001
1997,614.2710000000001
1998,614.5790000000001
1999,614.8870000000001
2000,615.195
2001,615.503
2002,615.811
2003,616.119
2004,616.427
2005,616.735
2006,617.043
2007,617.351
2008,617.659
2009,617.9670000000001
2010,618.2750000000001
2011,618.5830000000001
2012,618.8910000000001
2013,619.1990000000001
2014,619.5070000000001
2015,619.815
2016,620.123
2017,620.431
2018,620.739
2019,621.047
2020,621.355
2021,621.663
2022,621.971
