year,builtupArea
1990,614.668
1991,614.976
1992,615.284
1993,615.592
1994,615.9000000000001
1995,616.2080000000001
1996,616.5160000000001
1997,616.8240000000001
1998,617.1320000000001
1999,617.44
2000,617.748
2001,618.056
2002,618.364
2003,618.672
2004,618.98
2005,619.288
2006,619.596
2007,619.904
2008,620.212
2009,620.5200000000001
2010,620.8280000000001
2011,621.1360000000001
2012,621.4440000000001
2013,621.7520000000001
2014,622.0600000000001
2015,622.368
2016,622.676
2017,622.984
2018,623.292
2019,623.6
2020,623.908
2021,624.216
2022,624.524
