year,builtupArea
1990,611.448
1991,611.756
1992,612.064
1993,612.372
1994,612.6800000000001
1995,612.988
1996,613.296
1997,613.604
1998,613.912
1999,614.22
2000,614.528
2001,614.836
2002,615.144
2003,615.452
2004,615.76
2005,616.068
2006,616.376
2007,616.684
2008,616.992
2009,617.3000000000001
2010,617.6080000000001
2011,617.916
2012,618.224
2013,618.532
2014,618.84
2015,619.148
2016,619.456
2017,619.764
2018,620.072
2019,620.38
2020,620.688
2021,620.996
2022,621.304
