year,builtupArea
1990,30.608999999999998
1991,30.625600000000002
1992,30.6422
1993,30.658800000000003
1994,30.6754
1995,30.691999999999997
1996,30.7086
1997,30.725199999999997
1998,30.7418
1999,30.758399999999998
2000,30.775000000000002
2001,30.7916
2002,30.808200000000003
2003,30.8248
2004,30.841399999999997
2005,30.858
2006,30.874599999999997
2007,30.8912
2008,30.907799999999998
2009,30.924400000000002
2010,30.941
2011,30.957600000000003
2012,30.9742
2013,30.990799999999997
2014,31.0074
2015,31.023999999999997
2016,31.0406
2017,31.057199999999998
2018,31.073800000000002
2019,31.0904
2020,31.107000000000003
2021,31.1236
2022,31.140199999999997
