year,builtupArea
1990,33.29447
1991,33.31107
1992,33.32767
1993,33.34427
1994,33.36087
1995,33.377469999999995
1996,33.39407
1997,33.410669999999996
1998,33.42727
1999,33.44387
2000,33.46047
2001,33.47707
2002,33.49367
2003,33.51027
2004,33.526869999999995
2005,33.54347
2006,33.560069999999996
2007,33.57667
2008,33.59327
2009,33.60987
2010,33.62647
2011,33.64307
2012,33.65967
2013,33.676269999999995
2014,33.69287
2015,33.709469999999996
2016,33.72607
2017,33.74267
2018,33.75927
2019,33.77587
2020,33.79247
2021,33.80907
2022,33.825669999999995
