year,builtupArea
1990,638.5450000000001
1991,638.864
1992,639.183
1993,639.5020000000001
1994,639.821
1995,640.14
1996,640.4590000000001
1997,640.778
1998,641.097
1999,641.416
2000,641.735
2001,642.054
2002,642.373
2003,642.692
2004,643.0110000000001
2005,643.33
2006,643.649
2007,643.9680000000001
2008,644.287
2009,644.606
2010,644.9250000000001
2011,645.244
2012,645.563
2013,645.8820000000001
2014,646.201
2015,646.52
2016,646.839
2017,647.158
2018,647.477
2019,647.796
2020,648.115
2021,648.434
2022,648.753
