year,builtupArea
1990,606.2139999999999
1991,606.519
1992,606.824
1993,607.129
1994,607.434
1995,607.739
1996,608.044
1997,608.349
1998,608.654
1999,608.959
2000,609.264
2001,609.569
2002,609.874
2003,610.179
2004,610.484
2005,610.789
2006,611.094
2007,611.399
2008,611.704
2009,612.009
2010,612.314
2011,612.619
2012,612.924
2013,613.229
2014,613.534
2015,613.8389999999999
2016,614.144
2017,614.449
2018,614.754
2019,615.059
2020,615.364
2021,615.669
2022,615.974
