year,builtupArea
1990,607.886
1991,608.191
1992,608.496
1993,608.801
1994,609.106
1995,609.4110000000001
1996,609.716
1997,610.0210000000001
1998,610.326
1999,610.631
2000,610.936
2001,611.241
2002,611.546
2003,611.851
2004,612.1560000000001
2005,612.461
2006,612.7660000000001
2007,613.071
2008,613.376
2009,613.681
2010,613.986
2011,614.291
2012,614.596
2013,614.9010000000001
2014,615.206
2015,615.511
2016,615.816
2017,616.121
2018,616.426
2019,616.731
2020,617.0360000000001
2021,617.341
2022,617.6460000000001
