year,builtupArea
1990,615.174
1991,615.482
1992,615.79
1993,616.098
1994,616.4060000000001
1995,616.714
1996,617.022
1997,617.33
1998,617.638
1999,617.946
2000,618.254
2001,618.562
2002,618.87
2003,619.178
2004,619.486
2005,619.794
2006,620.102
2007,620.41
2008,620.718
2009,621.0260000000001
2010,621.3340000000001
2011,621.642
2012,621.95
2013,622.258
2014,622.566
2015,622.874
2016,623.182
2017,623.49
2018,623.798
2019,624.106
2020,624.414
2021,624.722
2022,625.03
