year,builtupArea
1990,613.1423
1991,613.4503
1992,613.7583
1993,614.0663
1994,614.3743000000001
1995,614.6823
1996,614.9903
1997,615.2983
1998,615.6063
1999,615.9143
2000,616.2223
2001,616.5303
2002,616.8383
2003,617.1463
2004,617.4543
2005,617.7623
2006,618.0703
2007,618.3783
2008,618.6863
2009,618.9943000000001
2010,619.3023000000001
2011,619.6103
2012,619.9183
2013,620.2263
2014,620.5343
2015,620.8423
2016,621.1503
2017,621.4583
2018,621.7663
2019,622.0743
2020,622.3823
2021,622.6903
2022,622.9983
