year,builtupArea
1990,754.428
1991,754.8059999999999
1992,755.184
1993,755.562
1994,755.9399999999999
1995,756.318
1996,756.696
1997,757.074
1998,757.452
1999,757.8299999999999
2000,758.208
2001,758.586
2002,758.9639999999999
2003,759.342
2004,759.72
2005,760.098
2006,760.476
2007,760.8539999999999
2008,761.232
2009,761.61
2010,761.9879999999999
2011,762.366
2012,762.744
2013,763.122
2014,763.5
2015,763.8779999999999
2016,764.256
2017,764.634
2018,765.012
2019,765.39
2020,765.768
2021,766.146
2022,766.524
